id,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
198,e,1.73,x,,b,f,,d,u,5.52,5.28,,,w,,,f,f,,d,a
199,p,7.98,b,y,n,f,,,k,15.14,17.27,,,w,,,f,f,,d,a
200,p,7.95,x,h,e,f,x,d,w,5.97,17.52,b,,w,,,f,f,,d,a
201,p,3.01,f,,n,f,x,c,p,7.69,4.24,,,p,,,f,f,,d,a
202,p,8.31,x,e,e,f,a,,k,8.27,10.72,,,n,,w,t,z,,d,a
203,e,13.53,p,s,w,t,e,,n,11.2,17.57,s,,w,,,t,l,,m,a
204,p,7.95,s,t,p,t,d,c,p,7.98,13.96,,,p,,,t,f,,d,a
205,p,10.1,p,,n,f,p,,w,10.71,28.15,c,,n,,,f,f,w,d,a
206,p,4.16,x,s,y,f,a,c,y,5.51,6.65,,g,o,,,f,f,,g,a
207,e,13.26,f,s,n,t,e,,g,10.09,17.93,s,,w,,,t,l,,m,u
208,p,8.14,x,e,y,f,a,,o,13.42,18.16,r,,n,,,t,r,n,d,a
209,e,9.3,x,s,n,t,p,,y,7.65,18.11,,,n,,w,t,p,,d,u
210,p,3.41,f,d,n,t,d,c,w,4.78,7.23,,,e,,,f,f,,d,a
211,p,3.18,x,d,w,f,a,d,p,3.76,2.51,,h,w,,,f,f,,g,u
212,e,4.19,o,l,n,f,f,f,f,5.22,41.22,,,n,,,f,f,,d,w
213,p,2.35,f,g,n,f,a,,w,7.07,2.7,,,n,,,f,f,,d,a
214,p,6.66,p,y,g,f,,,k,13.7,17.13,,,w,,,f,f,,d,a
215,e,6.57,p,,n,f,f,f,f,6.55,21.15,,,n,,,f,f,,l,s
216,p,10.86,x,t,n,f,a,d,w,10.55,24.2,,,w,,,f,f,,d,a
217,p,7.91,f,t,e,f,x,d,w,5.68,18.12,b,,w,,,f,f,,d,u
218,p,8.44,x,,n,f,e,,w,7.98,15.98,,y,w,u,w,t,p,,d,a
219,e,3.04,b,y,n,f,,c,k,6.23,2.55,,,w,,,f,f,,d,a
220,e,9.71,p,i,n,t,e,,p,9.05,19.33,,y,w,,,t,p,,l,a
221,p,14.26,x,k,w,t,d,d,n,7.31,32.04,,,w,,,f,f,,d,w
222,e,6.89,x,s,b,f,x,c,w,5.78,10.16,,s,n,,,f,f,,l,a
223,e,8.23,x,s,k,f,a,c,w,3.49,13.22,,,w,,,f,f,,d,u
224,p,5.03,c,i,y,f,,c,r,6.1,7.92,,,w,,,f,f,,d,u
225,p,4.16,o,,w,f,f,f,f,5.37,29.97,,g,w,,,t,f,,d,u
226,p,3.92,b,h,n,f,,,k,10.76,5.92,,,w,,,t,,k,g,w
227,p,1.4,b,h,n,f,a,,n,4.49,1.57,,t,n,,,f,f,,g,a
228,p,4.43,o,,w,f,f,f,f,5.52,27.48,,g,w,,,t,f,,p,u
229,p,6.33,b,t,w,f,e,c,w,10.91,10.12,,y,w,u,w,t,l,,d,u
230,e,9.4,f,,g,f,s,c,b,7.34,18.93,,,u,,,f,f,,d,a
231,p,3.05,x,d,w,f,d,d,p,3.62,2.44,,h,w,,,f,f,,g,u
232,e,3.54,x,h,p,f,a,c,o,4.48,6.33,,,e,,,f,f,,m,a
233,e,5.28,x,s,b,f,x,,n,6.12,8.4,,,n,,,f,f,,d,w
234,p,1.53,b,h,n,f,a,,n,4.56,1.47,,t,n,,,f,f,,g,u
235,e,7.41,x,t,y,f,p,,y,7.83,15.98,,,y,,y,t,,,d,a
236,p,3.62,x,i,e,f,,,e,4.43,5.39,,,e,,,f,f,n,d,u
237,p,3.07,b,,n,f,a,,k,8.45,2.38,,,n,,w,f,f,k,g,a
238,p,8.53,f,,r,f,x,c,y,6.35,10.66,,,w,,,f,f,,d,u
239,e,14.33,f,t,k,f,a,d,y,5.94,21.63,,,w,,,f,f,w,d,a
240,p,7.43,x,y,w,t,,,p,8.49,15.7,,,w,,,t,l,,d,a
241,e,7.07,f,s,w,f,e,c,w,20.44,12.91,,s,w,,,t,e,,u,u
242,p,3.15,c,,u,f,a,c,w,3.92,3.55,,i,u,,,f,f,,p,u
243,e,8.03,f,y,w,f,e,c,w,14.0,11.99,,s,w,,,t,e,,d,w
244,p,13.63,f,h,e,f,e,,w,16.77,17.93,s,y,w,u,w,t,g,,d,w
245,e,8.15,s,,n,f,s,c,g,7.59,19.87,b,,u,,,f,f,,d,w
246,p,2.3,c,h,n,f,,,y,7.95,2.97,,,y,,,f,f,,g,u
247,e,4.4,x,,n,f,x,c,n,6.76,7.63,,,n,,w,t,,,d,a
248,e,6.1,x,h,n,f,x,c,n,5.92,6.61,,y,n,,,t,r,,d,s
249,e,0.82,x,g,e,t,a,,p,4.74,0.98,,,n,,,f,f,,h,u
250,p,7.75,b,t,w,f,e,c,w,12.08,11.83,,y,w,u,w,t,l,,d,a
251,e,1.64,x,s,n,f,d,,w,6.06,1.94,,t,y,,,f,f,,h,a
252,p,20.55,f,s,n,f,p,,y,7.26,46.38,,k,n,,,f,f,,d,a
253,p,9.54,x,,n,f,e,,w,10.67,17.44,,,w,u,w,t,e,,d,u
254,p,3.38,f,,n,f,x,c,p,8.55,3.98,,,p,,,f,f,,d,a
255,p,3.17,x,,n,f,a,,k,8.5,2.49,,,n,,w,f,f,k,g,a
256,p,6.23,f,,n,f,d,c,y,5.54,10.24,b,,n,,,f,f,,d,w
257,e,1.04,b,g,g,f,,,g,3.05,1.54,,,w,,,f,f,,d,u
258,e,7.77,x,t,n,f,p,d,y,7.28,12.85,,s,n,,,f,f,,h,a
259,p,7.83,b,y,n,f,,,k,12.86,16.78,,,w,,,f,f,,d,a
260,p,0.94,b,t,n,f,,c,g,3.03,2.34,,,n,,,t,f,,m,u
261,p,7.27,s,t,n,t,d,,g,4.61,12.62,,t,n,,,f,f,,d,u
262,e,6.4,s,,n,f,d,c,w,4.53,8.1,,s,w,,,f,f,,l,a
263,p,3.88,x,t,n,f,s,c,n,6.15,8.21,,,w,,n,t,z,,d,u
264,e,12.11,f,s,w,t,e,,n,9.82,17.54,s,,w,,,t,r,,m,w
265,p,6.51,p,,n,f,a,,w,8.74,13.01,,,w,,,f,f,,g,u
266,p,1.3,f,s,y,f,f,f,f,3.64,5.82,,,y,,,f,f,,d,u
267,p,0.53,x,g,y,f,,,y,3.46,0.75,,,y,,,f,f,,d,a
268,e,1.22,c,g,n,t,a,,w,5.2,1.01,,,n,,,f,f,,h,u
269,e,1.2,b,y,n,f,,c,g,4.88,2.5,,,w,,,f,f,,d,a
270,e,5.82,o,,g,f,f,f,f,4.94,19.91,,,n,,,f,f,,l,s
271,e,5.66,x,h,n,f,e,,w,11.77,12.01,,s,w,u,w,f,f,,d,u
272,p,11.94,x,,n,f,e,,w,10.78,14.69,,,w,u,w,t,g,,d,u
273,p,3.54,f,d,b,f,x,c,y,4.26,3.33,b,s,n,,,f,f,,l,a
274,p,6.34,f,s,g,t,s,d,r,5.51,14.51,r,i,n,,,f,f,,d,a
275,e,6.95,s,l,w,f,d,,w,3.64,10.25,,,w,,,f,f,,d,a
276,e,1.2,p,g,w,f,,,g,3.22,1.52,,,w,,,f,f,,d,u
277,e,3.66,f,d,p,t,d,c,p,4.67,6.7,,,g,,,f,f,,d,u
278,p,5.22,x,h,y,f,a,c,y,6.43,8.7,,g,o,,,f,f,,g,u
279,e,8.32,x,t,y,f,p,,y,7.67,16.19,,,y,,y,t,,,d,a
280,p,3.35,b,y,e,f,e,c,w,4.82,3.46,,k,w,,,t,e,,d,u
281,p,9.5,f,,n,f,e,,w,10.61,13.19,,,w,u,w,t,g,,d,u
282,p,5.4,p,s,g,f,,,g,11.27,14.25,,s,w,,,t,z,,d,a
283,e,9.16,x,t,n,t,p,,y,8.15,16.92,,,n,,w,t,p,,d,a
284,e,2.74,x,d,e,f,a,c,o,3.64,5.93,,,e,,,f,f,,m,w
285,p,7.01,x,w,p,f,s,c,p,3.75,9.99,,,p,,,f,f,,d,w
286,p,3.11,x,h,n,f,,,k,8.54,6.38,,,w,,,t,,k,g,u
287,e,4.04,x,,r,f,d,,r,5.67,6.93,,,l,,,f,f,,d,u
288,e,10.2,f,e,b,f,,c,b,5.28,19.49,,,w,,,t,f,,d,a
289,p,7.52,s,,o,t,d,,o,5.94,12.97,,,w,,,t,f,,d,u
290,p,4.01,b,t,n,f,x,c,p,5.54,3.77,,i,n,,,f,f,,g,u
291,p,1.43,b,h,n,f,a,,n,4.6,1.25,,t,n,,,f,f,,d,s
292,p,1.66,x,,n,f,,,n,4.96,2.6,,s,n,,,f,f,k,g,u
293,e,7.36,x,d,n,t,p,,y,7.81,15.77,,,y,,,f,f,,d,u
294,p,3.15,x,d,w,f,d,d,w,3.51,2.58,,h,w,,,f,f,,g,a
295,p,13.25,x,s,w,f,s,,p,7.42,17.53,,i,n,,,f,f,,d,u
296,e,4.32,x,h,n,f,x,c,n,4.57,5.33,,s,n,,,t,r,,d,s
297,e,3.92,x,t,o,f,p,,n,4.89,12.48,,,e,,,f,f,,d,a
298,e,3.49,x,s,n,f,p,,n,4.7,9.85,,,e,,,f,f,,d,u
299,p,2.39,f,t,n,f,,,y,6.7,2.45,,,y,,,f,f,,g,u
300,e,9.66,f,d,w,f,s,c,w,8.37,31.15,,,w,,,f,f,,m,a
301,p,3.9,b,h,n,f,,,k,10.06,6.54,,,w,,,t,,k,g,u
302,p,2.73,x,d,w,f,a,d,p,3.42,2.44,,,w,,,f,f,,g,u
303,p,1.43,x,k,n,f,,,n,4.2,1.68,,,n,,,f,f,,d,w
304,e,5.48,x,s,n,f,p,,n,6.22,13.05,,,n,,,f,f,,d,u
305,p,3.57,x,,n,f,x,c,p,8.4,4.09,,,p,,,f,f,,l,a
